AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
chineur	affixed	eur	v	action
chômeur	affixed	eur	v	action
chroniqueur	affixed	eur	v	action
chroniqueuse	affixed	eur	v	action
chronométreur	affixed	eur	v	action
cireur	affixed	eur	v	action
cogneur	affixed	eur	v	action
coiffeur	affixed	eur	v	action
collaborateur	affixed	eur	v	action
collectionneur	affixed	eur	v	action
colleur	affixed	eur	v	action
colonisateur	affixed	eur	v	action
colporteur	affixed	eur	v	action
commandeur	affixed	eur	v	action
commentateur	affixed	eur	v	action
comploteur	affixed	eur	v	action
compositeur	affixed	eur	v	action
concepteur	affixed	eur	v	action
conciliateur	affixed	eur	v	action
conducteur	affixed	eur	v	action
confectionneur	affixed	eur	v	action
confesseur	affixed	eur	v	action
conjurateur	affixed	eur	v	action
conservateur	affixed	eur	v	action
consolateur	affixed	eur	v	action
consommateur	affixed	eur	v	action
conspirateur	affixed	eur	v	action
constructeur	affixed	eur	v	action
contemplateur	affixed	eur	v	action
conteur	affixed	eur	v	action
continuateur	affixed	eur	v	action
contradicteur	affixed	eur	v	action
contributeur	affixed	eur	v	action
convoyeur	affixed	eur	v	action
coopérateur	affixed	eur	v	action
coordinateur	affixed	eur	v	action
coordonnateur	affixed	eur	v	action
coproducteur	affixed	eur	v	action
corailleur	affixed	eur	n	object
corrupteur	affixed	eur	v	action
coupeur	affixed	eur	v	action
coureur	affixed	eur	v	action
couvreur	affixed	eur	v	action
cracheur	affixed	eur	v	action
crâneur	affixed	eur	v	action
créateur	affixed	eur	v	action
creuseur	affixed	eur	v	action
crieur	affixed	eur	v	action
crocheteur	affixed	eur	v	action
croqueur	affixed	eur	v	action
croqueuse	affixed	eur	v	action
cueilleur	affixed	eur	v	action
cueilleuse	affixed	eur	v	action
cultivateur	affixed	eur	v	action
danseur	affixed	eur	v	action
débatteur	affixed	eur	v	action
déboucheur	affixed	eur	v	action
décapeur	affixed	eur	v	action
déchiffreur	affixed	eur	v	action
décideur	affixed	eur	v	action
déconneur	affixed	eur	v	action
décorateur	affixed	eur	v	action
découpeur	affixed	eur	v	action
découvreur	affixed	eur	v	action
découvreuse	affixed	eur	v	action
décrypteur	affixed	eur	v	action
défendeur	affixed	eur	v	action
défenseur	affixed	eur	v	action
dégustateur	affixed	eur	v	action
demandeur	affixed	eur	v	action
démarcheur	affixed	eur	v	action
déménageur	affixed	eur	v	action
déménageuse	affixed	eur	v	action
démineur	affixed	eur	v	action
démolisseur	affixed	eur	v	action
démonstrateur	affixed	eur	v	action
démystificateur	affixed	eur	v	action
dénicheur	affixed	eur	v	action
dénonciateur	affixed	eur	v	action
dépanneur	affixed	eur	v	action
dépeceur	affixed	eur	v	action
descendeur	affixed	eur	v	action
déserteur	affixed	eur	v	action
désosseur	affixed	eur	v	action
dessinateur	affixed	eur	v	action
déterreur	affixed	eur	v	action
détrousseur	affixed	eur	v	action
dévoreur	affixed	eur	v	action
diagnostiqueur	affixed	eur	v	action
dictateur	affixed	eur	v	action
dictatrice	affixed	eur	v	action
diffamateur	affixed	eur	v	action
dîneur	affixed	eur	v	action
directeur	affixed	eur	v	action
directrice	affixed	eur	v	action
discoureur	affixed	eur	v	action
diseur	affixed	eur	v	action
dispensateur	affixed	eur	v	action
dissipateur	affixed	eur	v	action
dominateur	affixed	eur	v	action
dompteur	affixed	eur	v	action
donateur	affixed	eur	v	action
donneur	affixed	eur	v	action
dormeur	affixed	eur	v	action
dormeuse	affixed	eur	v	action
doubleur	affixed	eur	v	action
doubleuse	affixed	eur	v	action
dragueur	affixed	eur	v	action
dragueuse	affixed	eur	v	action
dresseur	affixed	eur	v	action
dresseuse	affixed	eur	v	action
dribbleur	affixed	eur	v	action
dynamiteur	affixed	eur	v	action
éboueur	affixed	eur	v	action
écorcheur	affixed	eur	v	action
écouteuse	affixed	eur	v	action
écumeur	affixed	eur	v	action
éditeur	affixed	eur	v	action
éducateur	affixed	eur	v	action
éducatrice	affixed	eur	v	action
égorgeur	affixed	eur	v	action
éjaculateur	affixed	eur	v	action
élagueur	affixed	eur	v	action
électeur	affixed	eur	v	action
éleveur	affixed	eur	v	action
emballeur	affixed	eur	v	action
embaumeur	affixed	eur	v	action
embrasseur	affixed	eur	v	action
embrouilleur	affixed	eur	v	action
emmerdeur	affixed	eur	v	action
empailleur	affixed	eur	v	action
empêcheur	affixed	eur	v	action
empereur	affixed	eur	n	object
employeur	affixed	eur	v	action
empoisonneur	affixed	eur	v	action
emprunteur	affixed	eur	v	action
encadreur	affixed	eur	v	action
encaisseur	affixed	eur	v	action
enchanteur	affixed	eur	v	action
enchérisseur	affixed	eur	v	action
enculeur	affixed	eur	v	action
endormeur	affixed	eur	v	action
endosseur	affixed	eur	v	action
enfileur	affixed	eur	v	action
enfonceur	affixed	eur	v	action
enjôleur	affixed	eur	v	action
enlumineur	affixed	eur	v	action
enquêteur	affixed	eur	v	action
enquiquineur	affixed	eur	v	action
ensorceleur	affixed	eur	v	action
entraîneur	affixed	eur	v	action
entraîneuse	affixed	eur	v	action
entremetteur	affixed	eur	v	action
entrepreneur	affixed	eur	v	action
envahisseur	affixed	eur	v	action
envoûteur	affixed	eur	v	action
envoyeur	affixed	eur	v	action
équarrisseur	affixed	eur	v	action
escaladeur	affixed	eur	v	action
escamoteur	affixed	eur	v	action
essayeur	affixed	eur	v	action
étameur	affixed	eur	v	action
étouffeur	affixed	eur	v	action
étrangleur	affixed	eur	v	action
évaluateur	affixed	eur	v	action
évangélisateur	affixed	eur	v	action
éveilleur	affixed	eur	v	action
éventreur	affixed	eur	v	action
examinateur	affixed	eur	v	action
exécuteur	affixed	eur	v	action
expéditeur	affixed	eur	v	action
expérimentateur	affixed	eur	v	action
exploiteur	affixed	eur	v	action
explorateur	affixed	eur	v	action
exploratrice	affixed	eur	v	action
exportateur	affixed	eur	v	action
exterminateur	affixed	eur	v	action
facilitateur	affixed	eur	v	action
faiseur	affixed	eur	v	action
farceur	affixed	eur	n	action
faucheur	affixed	eur	v	action
fécondateur	affixed	eur	v	action
fédérateur	affixed	eur	v	action
feinteur	affixed	eur	v	action
fendeur	affixed	eur	v	action
ferrailleur	affixed	eur	v	action
féticheur	affixed	eur	n	object
fileur	affixed	eur	v	action
flagellateur	affixed	eur	v	action
flagorneur	affixed	eur	v	action
flâneur	affixed	eur	v	action
flatteur	affixed	eur	v	action
flingueur	affixed	eur	v	action
fonceur	affixed	eur	v	action
fondateur	affixed	eur	v	action
fondatrice	affixed	eur	v	action
fondeur	affixed	eur	v	action
footballeur	affixed	eur	n	domain
footballeuse	affixed	eur	n	domain
forceur	affixed	eur	v	action
foreur	affixed	eur	v	action
